author_sort,authors,isbn,id,identifiers,pubdate,publisher,tags,title,uuid
"Hoover, Colleen","Colleen Hoover","9798885786065","337","amazon:B0BFXNHLX4,isbn:9798885786065","2023-01-25T05:30:00+05:30","Thorndike Press Large Print","Romance, Contemporary, Young Adult, Adult","Maybe Now: A Novel","be51f248-6d2d-42f5-b005-eea608795609"
"calibre","calibre","","338","mobi-asin:4b0a0ef9-0120-4e4e-a9d7-e11a67976292","2024-05-31T13:35:30+05:30","","Catalog","My Books List","35853b17-6fae-4bb2-80e5-33384c3912fa"
"গুহ, বুদ্ধদেব","বুদ্ধদেব গুহ","","340","","2023-08-20T23:30:00+05:30","Kindle Bangla","Kindle Bangla","ঋজুদা সমগ্র","69393db7-53bd-43d3-8ddd-b294d78e31c6"
"অপু, অনীশ দাস","অনীশ দাস অপু","","341","","2023-09-12T23:30:00+05:30","Kindle Bangla","Kindle Bangla","পৃথিবীর সেরা থ্রিলার গল্প","3656371c-9043-4534-928b-0b064133eef0"
"গঙ্গোপাধ্যায়, নারায়ণ","নারায়ণ গঙ্গোপাধ্যায়","","342","","2023-07-27T23:30:00+05:30","Kindle Bangla","Kindle Bangla","টেনিদা সমগ্র","170726fd-2c81-4627-bc76-0ab459e06fad"
"কর, বিমল","বিমল কর","","343","","2023-08-03T23:30:00+05:30","Kindle Bangla","Kindle Bangla","বাছাই করা গল্প","c79db8f3-a5a9-4bd4-93a2-1b04cc752ec4"
"কর, বিমল","বিমল কর","","344","","2023-11-26T23:30:00+05:30","Kindle Bangla","Kindle Bangla","একটি ফোটো চুরির রহস্য","53f10127-442b-489b-ac1f-94d24e81d1e7"
"কর, বিমল","বিমল কর","","345","","2020-09-19T05:30:00+05:30","Kindle Bangla","Kindle Bangla","পঞ্চাশটি গল্প","1453846b-f411-4269-be00-23eff6bf3ff9"
"চট্টোপাধ্যায়, সঞ্জীব","সঞ্জীব চট্টোপাধ্যায়","","346","","2019-09-19T00:00:00+05:30","Kindle Bangla","Kindle Bangla","উপন্যাস সমগ্র-১","8285f3a3-adfd-4eee-9d91-eed7c1171c1e"
"চট্টোপাধ্যায়, সঞ্জীব","সঞ্জীব চট্টোপাধ্যায়","","347","","2023-08-17T23:30:00+05:30","Kindle Bangla","Kindle Bangla","লোটাকম্বল","9edfe3b8-725b-4f8c-8482-992a64315db2"
